"sanity_id","name","slug","catalog","series","category","size","finish","application","collection","has_matching_floor","variants","image_filename","image_url","hidden","sort_order","notes"
"6R4Op2zj1oYU72ZZby0Yrh","Botticino","botticino","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Floor","","","","botticino.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/a308509030aba05e869e5e70a6393fd11398aa81-3971x2114.jpg","FALSE","100",""
"6R4Op2zj1oYU72ZZby0Yur","Fantasy Crema Decor","fantasy-crema-decor","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Wall & Floor","","","","fantasy-crema-decor.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/4cf88fa2b5678ea2599beba4d064633ffa13f279-3971x2114.jpg","FALSE","101",""
"Vz8W9bIBIyovzeXfHVfJyb","Fantasy Crema","fantasy-crema","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Floor","","","","fantasy-crema.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/284f6f2d89552f4dce24e9261b07d4b7ae65097e-3971x2114.jpg","FALSE","102",""
"6R4Op2zj1oYU72ZZby0YtH","Graphite Silver","graphite-silver","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Floor","","","","graphite-silver.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/dcf69db4a221fb9687bfd6b034fb6d0999670bc2-3971x2114.jpg","FALSE","103",""
"6R4Op2zj1oYU72ZZby0YoX","Grey Imperial","grey-imperial","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Floor","","","","grey-imperial.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/b912ed1152b3f85b120d9844a3894f95fbcf1fd6-3971x2114.jpg","FALSE","104",""
"6R4Op2zj1oYU72ZZby0Yq7","Grey William","grey-william","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Floor","","","","grey-william.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/d541c3a022ed7b8ce0405af3b4d300797438e649-3971x2114.jpg","FALSE","105",""
"Vz8W9bIBIyovzeXfHVfK2l","Madison Grey","madison-grey","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Floor","","","","madison-grey.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/945d3e77acc8c1adbe7c7f605407cbda184051d7-3971x2114.jpg","FALSE","106",""
"Vz8W9bIBIyovzeXfHVfKFF","Natural Onyx","natural-onyx","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Floor","","","","natural-onyx.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/4f0afeceb4f5f839e9d266c312925f5720d2dc67-3971x2114.jpg","FALSE","107",""
"Vz8W9bIBIyovzeXfHVfKRj","Rocado","rocado","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Floor","","","","rocado.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/e40813dec71d47eb43d02cba3d6e20988ae8a63d-3971x2114.jpg","FALSE","108",""
"Vz8W9bIBIyovzeXfHVfKNZ","Rocado Decor","rocado-decor","eleganz-600x1200","Glossy","Glazed Vitrified","600×1200 mm","Glossy","Wall & Floor","","","","rocado-decor.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/eb3fc45ffd57d89cf32d934685552c38f7668e33-3971x2114.jpg","FALSE","109",""
