Name,Slug,Series,Filename,Is Matching Floor
Alcazar,alcazar-300x300,Alcazar,ALCAZAR_DB.jpg,True
Angel Dark,angel-dark-300x300,Angel,ANGEL_DARK.jpg,False
Avila Grey Dark,avila-grey-dark-300x300,Avila Grey,AVILA GREY DARK.jpg,False
Atlantica,atlantica-300x300,Atlantica,Atlantica_DB.jpg,True
Calendula Venezia,calendula-venezia-300x300,Calendula Venezia,CALENDULA VENEZIA_DB_P2.jpg,True
Classy Beige-Db,classy-beige-db-300x300,Classy Beige-Db,CLASSY BEIGE-DB_300x300.jpg,False
Crust Grey Dark,crust-grey-dark-300x300,Crust Grey,CRUST GREY DARK.jpg,False
Cozy,cozy-300x300,Cozy,Cozy.jpg,False
Desert Marble Dark,desert-marble-dark-300x300,Desert Marble,DESERT MARBLE DARK.jpg,False
Destiny Dark,destiny-dark-300x300,Destiny,DESTINY DARK.jpg,True
Dusk Grey Dark,dusk-grey-dark-300x300,Dusk Grey,DUSK GREY DARK.jpg,False
Dusk Gris Dark,dusk-gris-dark-300x300,Dusk Gris,DUSK GRIS DARK.jpg,True
Dusk Gris Light,dusk-gris-light-300x300,Dusk Gris,DUSK GRIS LIGHT.jpg,True
Edmonton,edmonton-300x300,Edmonton,EDMONTON_DB.jpg,False
Aqua Cloudy,aqua-cloudy-300x300,Aqua Cloudy,F EC AQUA CLOUDY.jpg,False
Aqua Dense,aqua-dense-300x300,Aqua Dense,F EC AQUA DENSE.jpg,False
Aqua Green,aqua-green-300x300,Aqua Green,F EC AQUA GREEN.jpg,False
Blare Dark,blare-dark-300x300,Blare,F EC BLARE DARK.jpg,False
Buff Beige,buff-beige-300x300,Buff Beige,F EC BUFF BEIGE.jpg,False
Camel Brown,camel-brown-300x300,Camel Brown,F EC CAMEL BROWN.jpg,False
Charcoal,charcoal-300x300,Charcoal,F EC CHARCOAL.jpg,False
Cheesy Brown,cheesy-brown-300x300,Cheesy Brown,F EC CHEESY BROWN.jpg,False
Crust Barren,crust-barren-300x300,Crust Barren,F EC CRUST BARREN.jpg,False
Crust Black,crust-black-300x300,Crust Black,F EC CRUST BLACK.jpg,False
Crust Dusk,crust-dusk-300x300,Crust Dusk,F EC CRUST DUSK.jpg,False
Crust Foggy,crust-foggy-300x300,Crust Foggy,F EC CRUST FOGGY.jpg,False
Crust Grey,crust-grey-300x300,Crust Grey,F EC CRUST GREY.jpg,False
Crust Pale,crust-pale-300x300,Crust Pale,F EC CRUST PALE.jpg,False
Crust Pine,crust-pine-300x300,Crust Pine,F EC CRUST PINE.jpg,False
Crystal Grey,crystal-grey-300x300,Crystal Grey,F EC CRYSTAL GREY.jpg,False
Daisy Jolly,daisy-jolly-300x300,Daisy Jolly,F EC DAISY JOLLY.jpg,False
Destiny Dark,destiny-dark-300x300,Destiny,F EC DESTINY DARK.jpg,True
Floral Brown,floral-brown-300x300,Floral Brown,F EC FLORAL BROWN.jpg,False
Floral Grey,floral-grey-300x300,Floral Grey,F EC FLORAL GREY.jpg,False
Ford Dark,ford-dark-300x300,Ford,F EC FORD DARK.jpg,False
Mad Grey,mad-grey-300x300,Mad Grey,F EC MAD GREY.jpg,False
Maze Dark,maze-dark-300x300,Maze,F EC MAZE DARK.jpg,False
Milky Bianco,milky-bianco-300x300,Milky Bianco,F EC MILKY BIANCO.jpg,False
Puzzle Dark,puzzle-dark-300x300,Puzzle,F EC PUZZLE DARK.jpg,False
Sandy Mint,sandy-mint-300x300,Sandy Mint,F EC SANDY MINT.jpg,False
Serene,serene-300x300,Serene,F EC SERENE.jpg,False
Ultramarine,ultramarine-300x300,Ultramarine,F EC ULTRAMARINE.jpg,False
