Name,Slug,Size,Series,Category,Finish,Application,Collection,Catalog,Has Image,Visible on Site,Image URL
Alcazar,alcazar-300x300,300×300 mm,Alcazar,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/2dee4622d66298b4dca5067a8ec76d51ed2b874d-4913x4913.
Angel Dark Floor,angel-dark-300x300,300×300 mm,Angel,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/eccce244f0d3d9435cb43199cb733006f705b73c-4945x4945.
Aqua Cloudy,aqua-cloudy-300x300,300×300 mm,Aqua Cloudy,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/5b7e116e8d7641647fc64babb4cb22025b9d0cda-498x497.jp
Aqua Dense,aqua-dense-300x300,300×300 mm,Aqua Dense,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/951f3ab89b948756e13c26a8089cf89f70b3654a-497x497.jp
Aqua Green,aqua-green-300x300,300×300 mm,Aqua Green,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/34a95c1d329309974c18f45e60aae499ea3ac473-497x497.jp
Atlantica,atlantica-300x300,300×300 mm,Atlantica,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/9939906e7679350ae7fc82fe773c2e9947f2061d-4913x4913.
Avila Grey Dark Floor,avila-grey-dark-300x300,300×300 mm,Avila Grey,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/97d464b1ffec1e6b86c14aa20216e8f11d189d19-4945x4945.
Blare Dark,blare-dark-300x300,300×300 mm,Blare,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/29ef7041b71c54cd9801f98022b84a48db2e18dc-497x497.jp
Buff Beige,buff-beige-300x300,300×300 mm,Buff Beige,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/645579ae79737112199971993c4fd82118e15222-497x497.jp
Calendula Venezia,calendula-venezia-300x300,300×300 mm,Calendula Venezia,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/d3b5919ace4f2ce9944c9f6763105fa1fd66584d-4913x4913.
Camel Brown,camel-brown-300x300,300×300 mm,Camel Brown,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/49151b83086148954262f3097406b33914438b1f-497x497.jp
Charcoal,charcoal-300x300,300×300 mm,Charcoal,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/6d6b60d33ce9947b89c2067c558919644ec0c1dd-497x497.jp
Cheesy Brown,cheesy-brown-300x300,300×300 mm,Cheesy Brown,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/eb9f9bf2e3e6eaabc8ed8ad1e8d3112134735288-497x497.jp
Classy Beige Floor,classy-beige-300x300,300×300 mm,Classy Beige,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/fba1df88253bd8eecae3b0c28fc2d978b2b4e799-4913x4913.
Cozy,cozy-300x300,300×300 mm,Cozy,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/6ae5c7dc6b63571067540cf989e8829e0beee73b-4252x4252.
Crust Barren,crust-barren-300x300,300×300 mm,Crust Barren,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/ba9117a348fa31cc2fe39de90b3025d2216ccd82-497x497.jp
Crust Black,crust-black-300x300,300×300 mm,Crust Black,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/072247f571e0a507fe3a8bcdf449d3051f458aa9-497x497.jp
Crust Dusk,crust-dusk-300x300,300×300 mm,Crust Dusk,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/fa1ea477e3a463a31b02097e8fef38113f41f772-497x497.jp
Crust Foggy,crust-foggy-300x300,300×300 mm,Crust Foggy,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/2f61033fab153efaa2355bd6c9d513c7d68c11ec-497x497.jp
Crust Grey,crust-grey-300x300,300×300 mm,Crust Grey,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/13bc2e395b0d94b15e40efd65e7b1661732c89f5-4945x4945.
Crust Grey Dark Floor,crust-grey-dark-300x300,300×300 mm,Crust Grey,Ceramic,Matt,Floor,,floor-300x300,YES,VISIBLE,https://cdn.sanity.io/images/3jv6o4t6/production/13bc2e395b0d94b15e40efd65e7b1661732c89f5-4945x4945.
