"sanity_id","name","slug","catalog","series","category","size","finish","application","spaces","collection","has_matching_floor","variants","image_filename","image_url","hidden","sort_order","notes"
"Vz8W9bIBIyovzeXfHVfTEr","Akshobhya Mandala","akshobhya-mandala","spirit-of-nepal","Thangka Art","Art","300×600 mm","Glossy","Art Panel","","Thangka Art","","","akshobhya-mandala.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/12b9415fd272da0458a23558d0ef3716c1bbc522-2116x2931.jpg","FALSE","102",""
"Vz8W9bIBIyovzeXfHVfT6X","Manjushri Thangka","manjushri-thangka","spirit-of-nepal","Thangka Art","Art","300×600 mm","Glossy","Art Panel","","Thangka Art","","","manjushri-thangka.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/cc6793acf5d82012fc0f2093aea9f8b85cc6b453-1682x2400.jpg","FALSE","103",""
"Vz8W9bIBIyovzeXfHVfTJ1","Bajrapani Thangka","bajrapani-thangka","spirit-of-nepal","Thangka Art","Art","300×600 mm","Glossy","Art Panel","","Thangka Art","","","bajrapani-thangka.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/3c22f7ddd643d8bbfad97d8a3ac40956b59e981c-1416x1600.jpg","FALSE","104",""
"6FW298nYnATvqnL3NK3s59","Chintamani Lokeshwor Thangka","chintamani-lokeshwor-thangka","spirit-of-nepal","Thangka Art","Art","300×600 mm","Glossy","Art Panel","","Thangka Art","","","chintamani-lokeshwor-thangka.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/59cb7f92bbe588ae6b159289a9ac3880b1d0c9a4-1014x1600.jpg","FALSE","105",""
"Vz8W9bIBIyovzeXfHVfTAh","Green Tara Thangka","green-tara-thangka","spirit-of-nepal","Thangka Art","Art","300×600 mm","Glossy","Art Panel","","Thangka Art","","","green-tara-thangka.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/b5cd60e821be7dcfa8a72486ce45c842a2817996-1249x1600.jpg","FALSE","106",""
"6FW298nYnATvqnL3NK3s9P","White Tara Thangka","white-tara-thangka","spirit-of-nepal","Thangka Art","Art","300×600 mm","Glossy","Art Panel","","Thangka Art","","","white-tara-thangka.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/5153341c83b8d44821a0b4a3293b654672b63e02-924x1280.jpg","FALSE","107",""
"Vz8W9bIBIyovzeXfHVfUNb","Aqua Dhaka Dark","aqua-dhaka-dark","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","aqua-dhaka-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/b9ee1b1ac2f1d7b723a99f00dd96f3f8a68cc896-9732x4913.jpg","FALSE","108",""
"Vz8W9bIBIyovzeXfHVfUJR","Aqua Dhaka HL","aqua-dhaka-hl","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","aqua-dhaka-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/e679f0c61a993ed5f35d991b5f55f7e72fbf94d5-9732x4913.jpg","FALSE","109",""
"Vz8W9bIBIyovzeXfHVfUFH","Aqua Dhaka Light","aqua-dhaka-light","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","aqua-dhaka-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/453a80392f70283adb8ab594b115bca19e733f49-9732x4913.jpg","FALSE","110",""
"6FW298nYnATvqnL3NK3sDf","Gurans Dhaka","gurans-dhaka","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","gurans-dhaka.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/d97a8c2640e01a474fc7fb9f1e891f0a572f7749-7307x4913.jpg","FALSE","111",""
"Vz8W9bIBIyovzeXfHVfTm9","Gurans Hazy Dhaka Dark","gurans-hazy-dhaka-dark","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","gurans-hazy-dhaka-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/7f826103847ebba86defab25d7544c66e3aeba88-9732x4913.jpg","FALSE","112",""
"Vz8W9bIBIyovzeXfHVfTdp","Gurans Hazy Dhaka Light","gurans-hazy-dhaka-light","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","gurans-hazy-dhaka-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/522d783dfc7de560d1b9f73f45391ee3394f01e1-9732x4913.jpg","FALSE","113",""
"Vz8W9bIBIyovzeXfHVfThz","Gurans Hazy Dhaka HL","gurans-hazy-dhaka-hl","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","gurans-hazy-dhaka-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/35e36f11cc07a5ac0242a7cd837b5fdb6ec364f8-2400x1211.jpg","FALSE","114",""
"Vz8W9bIBIyovzeXfHVfTyd","Gurans Red Dhaka Dark","gurans-red-dhaka-dark","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","gurans-red-dhaka-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/2f14def4e7fa63fbbcecc75492bdc16ac193167a-9732x4914.jpg","FALSE","115",""
"Vz8W9bIBIyovzeXfHVfTuT","Gurans Red Dhaka HL","gurans-red-dhaka-hl","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","gurans-red-dhaka-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/ef612ca7ee454bdfdf514e8124fa49930b9495b8-9732x4913.jpg","FALSE","116",""
"Vz8W9bIBIyovzeXfHVfTqJ","Gurans Red Dhaka Light","gurans-red-dhaka-light","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","gurans-red-dhaka-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/39c0a75fa145be57f56ee21f14b9cdb51329f31c-9732x4913.jpg","FALSE","117",""
"6FW298nYnATvqnL3NK3sHv","Sunaulo Dhaka","sunaulo-dhaka","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","sunaulo-dhaka.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/1e1cca0b11343badd3e2b758cb0a1ff8204d6b96-7307x4913.jpg","FALSE","118",""
"Vz8W9bIBIyovzeXfHVfUB7","Tweed Dhaka Dark","tweed-dhaka-dark","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","tweed-dhaka-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/e07d7d4a98654bfb24f3df82c184918b159ef92a-9732x4913.jpg","FALSE","119",""
"Vz8W9bIBIyovzeXfHVfU6x","Tweed Dhaka HL","tweed-dhaka-hl","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","tweed-dhaka-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/d56eb51291215d36fc0985f08118e449fa1f9e30-2400x1211.jpg","FALSE","120",""
"Vz8W9bIBIyovzeXfHVfU2n","Tweed Dhaka Light","tweed-dhaka-light","spirit-of-nepal","Palpali Dhaka","Cultural Heritage","300×600 mm","Glossy","Wall","","Palpali Dhaka","","","tweed-dhaka-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/4e7ae50c8337cf27ac4f06e88df8d76300dcd8ae-9732x4913.jpg","FALSE","121",""
"6FW298nYnATvqnL3NK3sMB","Bhaktapur Biscuit","bhaktapur-biscuit","spirit-of-nepal","Flagstone","Stone Look","300×600 mm","Matt","Wall & Floor","","Flagstone","","","bhaktapur-biscuit.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/745ef05f99aeaefaa5885965eaed4a08e706e0ab-6898x6898.jpg","FALSE","122",""
"6FW298nYnATvqnL3NK3sQR","Bhotekoshi","bhotekoshi","spirit-of-nepal","Flagstone","Stone Look","300×600 mm","Matt","Wall & Floor","","Flagstone","","","bhotekoshi.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/5671a8c843e3938b28065eef0d345961229d465b-6898x6898.jpg","FALSE","123",""
"6FW298nYnATvqnL3NK3sUh","Cloudy Sindhupal Chowk","cloudy-sindhupal-chowk","spirit-of-nepal","Flagstone","Stone Look","300×600 mm","Matt","Wall & Floor","","Flagstone","","","cloudy-sindhupal-chowk.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/2cecb66b7863bcf5c2f1a29945c7d12d9d1cdd75-6898x6898.jpg","FALSE","124",""
"6FW298nYnATvqnL3NK3sYx","Dusky Bandipur","dusky-bandipur","spirit-of-nepal","Flagstone","Stone Look","300×600 mm","Matt","Wall & Floor","","Flagstone","","","dusky-bandipur.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/29690b833bb09ae0f085a0394bbe1f2ef712a9ca-6898x6898.jpg","FALSE","125",""
"6FW298nYnATvqnL3NK3sdD","Flaky Panauti Slate","flaky-panauti-slate","spirit-of-nepal","Flagstone","Stone Look","300×600 mm","Matt","Wall & Floor","","Flagstone","","","flaky-panauti-slate.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/45e215b99345df94d856b41959d640cadaf6dcce-6898x6898.jpg","FALSE","126",""
"6FW298nYnATvqnL3NK3shT","Kavre Slate","kavre-slate","spirit-of-nepal","Flagstone","Stone Look","300×600 mm","Matt","Wall & Floor","","Flagstone","","","kavre-slate.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/ff4c399218b29c6bed8df1c27401c163ce119716-6898x6898.jpg","FALSE","127",""
"Vz8W9bIBIyovzeXfHVfShZ","Mithila Art - Ram Sita Swayamber","mithila-art-ram-sita-swayamber","spirit-of-nepal","Mithila Art","Art","300×600 mm","Glossy","Art Panel","","Mithila Art","","","mithila-art-ram-sita-swayamber.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/9b5269e6ce7a3587ee5256b0ea00ee0edf7f4377-8533x5804.jpg","FALSE","128",""
"Vz8W9bIBIyovzeXfHVfSpt","Mithila Art - Buddha","mithila-art-buddha","spirit-of-nepal","Mithila Art","Art","300×600 mm","Glossy","Art Panel","","Mithila Art","","","mithila-art-buddha.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/cffa1e6fb6d238719ea6274d3c9546d7e41c8194-1188x2400.jpg","FALSE","129",""
"Vz8W9bIBIyovzeXfHVfT2N","Mithila Art - Chatth Puja","mithila-art-chatth-puja","spirit-of-nepal","Mithila Art","Art","300×600 mm","Glossy","Art Panel","","Mithila Art","","","mithila-art-chatth-puja.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/5de0b49361664c4b838b39d7907973e04a2a2051-2400x1800.jpg","FALSE","130",""
"6FW298nYnATvqnL3NK3slj","Mithila Art - Krishna Basuri","mithila-art-krishna-basuri","spirit-of-nepal","Mithila Art","Art","300×600 mm","Glossy","Art Panel","","Mithila Art","","","mithila-art-krishna-basuri.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/04e95499a764b19ff830b9806d070d00b28228d8-1600x2400.jpg","FALSE","131",""
