"sanity_id","name","slug","catalog","series","category","size","finish","application","spaces","collection","has_matching_floor","variants","image_filename","image_url","hidden","sort_order","notes"
"sr48P7L8pQniSziq4FPa3c","ANTIQUITY BIEGE","antiquity-biege","vitrified-600x600","Stone","Vitrified","600×600 mm","Matt","Floor","Resort Pathways, Countryard- Inspired Interiors","","","","ANTIQUITY-BIEGE.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/12f432aefb4e5df58cbe2b0d490620e98c08d9a6-1600x1600.jpg","FALSE","100",""
"IIcrdMU0yeuaddWtlVzTur","ANTIQUITY GREY","antiquity-grey","vitrified-600x600","Stone","Vitrified","600×600 mm","Matt","Floor","Heritage Hotel, Rustic Café, Homestays","","","","ANTIQUITY-GREY.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/70069759b51a498f8bed1ed8c9497489d2100203-1600x1600.jpg","FALSE","100",""
"jxDZMu3G7Va6P7dCS9uMED","ANTIQUITY MULTI","antiquity-multi","vitrified-600x600","Stone","Vitrified","600×600 mm","Matt","Floor","Resturant, Cafes, Commercial Spaces","","","","ANTIQUITY-MULTI.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/4ac48c2d50bb03f58099d948e659ae61f17543eb-1600x1600.jpg","FALSE","100",""
"sr48P7L8pQniSziq4FPbp2","ARMANI BIANCA","armani-bianca","vitrified-600x600","Elegant","Vitrified","600×600 mm","Matt","Floor","Premium Clinics, Jwelery Stores 2","","","","ARMANI-BIANCA.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/77ae1945783ddaa217cd3b5f77d2fe75f1f8a690-1600x1600.jpg","FALSE","100",""
"sr48P7L8pQniSziq4FPc9Y","ARMANI SUN","armani-sun","vitrified-600x600","Elegant","Vitrified","600×600 mm","Matt","Floor","Gold Jewelry, Banquet Halls","","","","ARMANI-SUN.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/04437f543d4f5e72e9fc6890dffcf9c41a59a7b3-1600x1600.jpg","FALSE","100",""
"IIcrdMU0yeuaddWtlVzVH3","ARMANI WHITE","armani-white","vitrified-600x600","Elegant","Vitrified","600×600 mm","Matt","Floor","Luxury Villas, High end boutiques, Wedding Venues, Premium Hotels","","","","ARMANI-WHITE.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/160fce7366be81d8a7ff81c1e1cb9005f744f329-1600x1600.jpg","FALSE","100",""
"A1n75j617MY2FrUmDIyYsN","BALTIC WHITE","baltic-white","vitrified-600x600","Patio Series","Vitrified","400×400 mm","Matt","Floor","","","","","baltic-white.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/bf707f22887cb2310afc4a9c87d42433c37fee03-4724x4724.jpg","FALSE","100",""
"sr48P7L8pQniSziq4FPgLQ","BOTTICINO","botticino","vitrified-600x600","Glossy","Vitrified","600×600 mm","Glossy","Floor","Grand Hotel Lobbies, Luxury Villas, Banquet Halls","","","","BOTTICINO.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/e3af350f4a7382babcf7706f0bb2da7d27209d2f-1600x1600.jpg","FALSE","100",""
"IIcrdMU0yeuaddWtlVzY2F","BRECCIA","breccia","vitrified-600x600","Glossy","Vitrified","600×600 mm","Glossy","Floor","Heritage Hotels, Classical Interiors, Villas","","","","BRECCIA.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/9609ca3b4d9ed0dace77315b86da18a41b3e7e2c-1600x1600.jpg","FALSE","100",""
"sr48P7L8pQniSziq4FPg7k","BRIGHT LOG","bright-log","vitrified-600x600","Stone","Vitrified","600×600 mm","Matt","Floor","Rooftop Indoor Sitting, Family Living Room, Apartment","","","","BRIGHT-LOG.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/1cfce55f0a8dce746b9df61eb3c74c5bb6427470-1600x1600.jpg","FALSE","100",""
