Filename,Folder,Uploaded to Sanity,Linked to Product
ALCAZAR_DB.jpg,Alcazar Series,YES,UNKNOWN
ALCAZAR_HL.jpg,Alcazar Series,YES,UNKNOWN
ALCAZAR_LB.jpg,Alcazar Series,YES,UNKNOWN
BROWN LINE.jpg,elevation tiles,YES,UNKNOWN
CALENDULA VENEZIA_DB_P2.jpg,Calendula Venezia Series,YES,UNKNOWN
CALENDULA VENEZIA_HL01.jpg,Calendula Venezia Series,YES,UNKNOWN
CALENDULA VENEZIA_HL02.jpg,Calendula Venezia Series,YES,UNKNOWN
CALENDULA VENEZIA_LB.jpg,Calendula Venezia Series,YES,UNKNOWN
CALIBER BEIGE.jpg,Caliber Stone Series,YES,UNKNOWN
CALIBER BEIGE.jpg,elevation tiles,YES,UNKNOWN
CALIBER STONE.jpg,Caliber Stone Series,YES,UNKNOWN
CALIBER STONE.jpg,elevation tiles,YES,UNKNOWN
Caliber Gris.jpg,elevation tiles,YES,UNKNOWN
Crown.jpg,elevation tiles,YES,UNKNOWN
DARK IVORY.jpg,(root),YES,UNKNOWN
Florida Dark.jpg,Florida Set,YES,UNKNOWN
Florida HL.jpg,Florida Set,YES,UNKNOWN
Florida Light.jpg,Florida Set,YES,UNKNOWN
GREY LINE.jpg,elevation tiles,YES,UNKNOWN
HAZE GRIS.jpg,elevation tiles,YES,UNKNOWN
Haze.jpg,elevation tiles,YES,UNKNOWN
Kettle Dark.jpg,Kettle Set,YES,UNKNOWN
Kettle HL 01.jpg,Kettle Set,YES,UNKNOWN
Kettle HL 02A.jpg,Kettle Set,YES,UNKNOWN
Kettle HL 02B.jpg,Kettle Set,YES,UNKNOWN
Kettle Light.jpg,Kettle Set,YES,UNKNOWN
LIGHT IVORY.jpg,(root),YES,UNKNOWN
Ligen Dark.jpg,Ligen Set,YES,UNKNOWN
Ligen HL.jpg,Ligen Set,YES,UNKNOWN
Ligen Light.jpg,Ligen Set,YES,UNKNOWN
MOSAIC_DB-S3.jpg,Mosaic Set,NO,UNKNOWN
MOSAIC_HL.jpg,Mosaic Set,NO,UNKNOWN
MOSAIC_LB-P2.jpg,Mosaic Set,NO,UNKNOWN
Mirage Dark.jpg,Mirage Set,YES,UNKNOWN
Mirage HL.jpg,Mirage Set,YES,UNKNOWN
Mirage L.jpg,Mirage Set,YES,UNKNOWN
Mosaic Dark.jpg,Mosaic Set,YES,UNKNOWN
Mosaic HL.jpg,Mosaic Set,YES,UNKNOWN
Mosaic Light.jpg,Mosaic Set,YES,UNKNOWN
Ocean Dark.jpg,Ocean Set,YES,UNKNOWN
Ocean HL 01.jpg,Ocean Set,YES,UNKNOWN
Ocean HL 02.jpg,Ocean Set,YES,UNKNOWN
Ocean Light.jpg,Ocean Set,YES,UNKNOWN
PLAIN WHITE.jpg,(root),YES,UNKNOWN
Pristine Grey Dark.jpg,Pristine Grey Set,YES,UNKNOWN
Pristine Grey HL.jpg,Pristine Grey Set,YES,UNKNOWN
Pristine Grey Light.jpg,Pristine Grey Set,YES,UNKNOWN
Purple Dark.jpg,Purple Set,YES,UNKNOWN
Purple HL.jpg,Purple Set,YES,UNKNOWN
Purple Light.jpg,Purple Set,YES,UNKNOWN
RUGGED BRICK.jpg,elevation tiles,YES,UNKNOWN
Richmond Dark.jpg,Richmond Set,YES,UNKNOWN
Richmond HL 01.jpg,Richmond Set,YES,UNKNOWN
Richmond HL 02 A.jpg,Richmond Set,YES,UNKNOWN
Richmond HL 02 B.jpg,Richmond Set,YES,UNKNOWN
Richmond Light.jpg,Richmond Set,YES,UNKNOWN
SHANGRILA-DARK.jpg,Shangrila Series,YES,UNKNOWN
SHANGRILA-HL.jpg,Shangrila Series,YES,UNKNOWN
SHANGRILA-LIGHT.jpg,Shangrila Series,YES,UNKNOWN
SILKEN MALENA_DB.jpg,Silken Malena Series,YES,UNKNOWN
SILKEN MALENA_HL01.jpg,Silken Malena Series,YES,UNKNOWN
SILKEN MALENA_HL02.jpg,Silken Malena Series,YES,UNKNOWN
SILKEN MALENA_LB.jpg,Silken Malena Series,YES,UNKNOWN
SLEEK BREAK.jpg,elevation tiles,YES,UNKNOWN
STARK MOSAIC.jpg,(root),YES,UNKNOWN
STARK MOSAIC.jpg,elevation tiles,YES,UNKNOWN
Trevertino Dark.jpg,Trevertino,YES,UNKNOWN
Trevertino HL.jpg,Trevertino,YES,UNKNOWN
Trevertino Light.jpg,Trevertino,YES,UNKNOWN
Vase Dark.jpg,Vase Set,YES,UNKNOWN
Vase HL.jpg,Vase Set,YES,UNKNOWN
Vase Light.jpg,Vase Set,YES,UNKNOWN
