Name,Slug,Series,Finish,Application,Has Image,Image URL
Alcazar Dark,alcazar-dark,Alcazar,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/2dee4622d66298b4dca5067a8ec76d5
Alcazar HL,alcazar-hl,Alcazar,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/629a2e2d2e02db26f2c95cecee8e2b5
Alcazar Light,alcazar-light,Alcazar,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/ece54e3734fb1bfadd452fa2b0c1931
Alderation Dark,alderation-dark,Alderation,Glossy,Wall,NO,
Alderation HL,alderation-hl,Alderation,Glossy,Wall,NO,
Alderation Light,alderation-light,Alderation,Glossy,Wall,NO,
Atlantica Dark,atlantica-dark,Atlantica,Glossy,Wall,NO,
Atlantica HL 01,atlantica-hl-01,Atlantica,Glossy,Wall,NO,
Atlantica HL 02,atlantica-hl-02,Atlantica,Glossy,Wall,NO,
Atlantica Light,atlantica-light,Atlantica,Glossy,Wall,NO,
Blossom Dark,blossom-dark,Blossom,Glossy,Wall,NO,
Blossom HL,blossom-hl,Blossom,Glossy,Wall,NO,
Blossom Light,blossom-light,Blossom,Glossy,Wall,NO,
Blue Mist Dark,blue-mist-dark,Blue Mist,Glossy,Wall,NO,
Blue Mist HL,blue-mist-hl,Blue Mist,Glossy,Wall,NO,
Blue Mist Light,blue-mist-light,Blue Mist,Glossy,Wall,NO,
Botany Dark,botany-dark,Botany,Glossy,Wall,NO,
Botany HL,botany-hl,Botany,Glossy,Wall,NO,
Botany Light,botany-light,Botany,Glossy,Wall,NO,
Calendula Venezia Dark,calendula-venezia-dark,Calendula Venezia,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/d3b5919ace4f2ce9944c9f6763105fa
Calendula Venezia HL 01,calendula-venezia-hl-01,Calendula Venezia,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/ae9ff3459cd8e97964c5f9c079bbe61
Calendula Venezia HL 02,calendula-venezia-hl-02,Calendula Venezia,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/7d32280d013b47fd6e262abb2b32016
Calendula Venezia Light,calendula-venezia-light,Calendula Venezia,Glossy,Wall,YES,https://cdn.sanity.io/images/3jv6o4t6/production/5ade9cf1298c8d2c40fe33cc3556a2a
Centro Dark,centro-dark,Centro,Glossy,Wall,NO,
Centro HL,centro-hl,Centro,Glossy,Wall,NO,
Centro Light,centro-light,Centro,Glossy,Wall,NO,
Centro Matt Dark,centro-matt-dark,Centro Matt,Matt,Wall,NO,
Centro Matt HL,centro-matt-hl,Centro Matt,Matt,Wall,NO,
Centro Matt Light,centro-matt-light,Centro Matt,Matt,Wall,NO,
Collage Dark,collage-dark,Collage,Glossy,Wall,NO,
Collage HL,collage-hl,Collage,Glossy,Wall,NO,
Collage Light,collage-light,Collage,Glossy,Wall,NO,
Cubixa Dark,cubixa-dark,Cubixa,Glossy,Wall,NO,
Cubixa HL,cubixa-hl,Cubixa,Glossy,Wall,NO,
Cubixa Light,cubixa-light,Cubixa,Glossy,Wall,NO,
Daltrix Dark,daltrix-dark,Daltrix,Glossy,Wall,NO,
Daltrix HL,daltrix-hl,Daltrix,Glossy,Wall,NO,
Daltrix Light,daltrix-light,Daltrix,Glossy,Wall,NO,
