"sanity_id","name","slug","catalog","series","category","size","finish","application","spaces","collection","has_matching_floor","variants","image_filename","image_url","hidden","sort_order","notes"
"VFQxgcvt4mHYpR6k5OZJ8Y","Angel Dark","angel-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","angel-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/8dce72a51d254a4f1560b542919f74d1a891498b-9732x4913.jpg","FALSE","100",""
"6R4Op2zj1oYU72ZZby0RGf","Angel HL","angel-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","angel-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/7b09965420acbc34f085aa5bed0730bbe782091c-9732x4913.jpg","FALSE","101",""
"6R4Op2zj1oYU72ZZby0RF5","Angel Light","angel-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","angel-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/1b330801bad1ed3c17d1f055c121b25784e557c3-9732x4913.jpg","FALSE","102",""
"6R4Op2zj1oYU72ZZby0RBv","Arvita Base","arvita-base","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","arvita-base.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/c6d558f2ca1367d84bf3651d5290a6e8c3cf7349-9732x4913.jpg","FALSE","103",""
"6R4Op2zj1oYU72ZZby0RDV","Arvita HL","arvita-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","arvita-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/5313e2a88d9fefc5f0b82c1a3e2165bcc7cae32e-9732x4913.jpg","FALSE","104",""
"6R4Op2zj1oYU72ZZby0UFb","Avila Grey Dark","avila-grey-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","avila-grey-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/a027c9138d4725657b8257c938eaa9a4712cf137-9732x4913.jpg","FALSE","105",""
"6R4Op2zj1oYU72ZZby0UE1","Avila Grey HL","avila-grey-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","avila-grey-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/ff0ebb4dab0d160bfcb04c49516c02b774f77c9c-9732x4929.jpg","FALSE","106",""
"6R4Op2zj1oYU72ZZby0UCR","Avila Grey Light","avila-grey-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","avila-grey-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/1ec74d0daa901889e3bbccd0f68bcaef50f577b8-9732x4913.jpg","FALSE","107",""
"f7HqoOy8SrrARCe7BCh6RS","Blare Mint Dark","blare-mint-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","blare-mint-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/c190df59fd2a4c18143e9d4c8744399dbdfc0825-9732x4913.jpg","FALSE","108",""
"f7HqoOy8SrrARCe7BCh6Vj","Blare Mint Decor","blare-mint-decor","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall & Floor","","","","","blare-mint-decor.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/f789a99655f19d2558ed9393b4ee3b4c19004356-9732x4913.jpg","FALSE","109",""
"f7HqoOy8SrrARCe7BCh6a0","Blare Mint Light","blare-mint-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","blare-mint-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/8ff4b7a894087d9aa4340771025d066fc3465d1d-9732x4913.jpg","FALSE","110",""
"f7HqoOy8SrrARCe7BCh6eH","Chakol Satutario Base","chakol-satutario-base","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","chakol-satutario-base.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/42ec65358e3d882339875c8ec6da500be1650dd7-9732x4913.jpg","FALSE","111",""
"f7HqoOy8SrrARCe7BCh6iY","Chakol Satutario HL","chakol-satutario-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","chakol-satutario-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/f96710e14e657bb1465c807b60cacb2803e07d8f-9732x4913.jpg","FALSE","112",""
"VFQxgcvt4mHYpR6k5OZJCT","Classy Beige Dark","classy-beige-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","classy-beige-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/996cf31e25657e8f5aa3ad5b7deea6ad9e2ff322-9732x4913.jpg","FALSE","113",""
"VFQxgcvt4mHYpR6k5OZJBA","Classy Beige HL","classy-beige-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","classy-beige-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/c8c3c84bb4172fd0b69d0d261d9a7aff44394aba-9732x4913.jpg","FALSE","114",""
"VFQxgcvt4mHYpR6k5OZJ9r","Classy Beige Light","classy-beige-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","classy-beige-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/f7ac6a227ff56492237dd59fd0d634a8d28eeab1-9732x4913.jpg","FALSE","115",""
"6R4Op2zj1oYU72ZZby0UKL","Crust Grey Dark","crust-grey-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","crust-grey-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/e1ea2fdb42524d5d4e67bed738a667620d6e432b-9732x4913.jpg","FALSE","116",""
"6R4Op2zj1oYU72ZZby0UIl","Crust Grey HL","crust-grey-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","crust-grey-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/f8bb1f0d335517bfffb5da613fd0b579c8eea662-9732x4913.jpg","FALSE","117",""
"6R4Op2zj1oYU72ZZby0UHB","Crust Grey Light","crust-grey-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","crust-grey-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/5873f81776468a69027c2ac7629d80ed1dab23ac-9732x4913.jpg","FALSE","118",""
"VFQxgcvt4mHYpR6k5OZJJ0","Dazzle HL","dazzle-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","dazzle-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/d8dc06d34df4ae03096ad11f7a79f213b4542483-9732x4913.jpg","FALSE","119",""
"VFQxgcvt4mHYpR6k5OZJHh","Dazzle Light","dazzle-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","dazzle-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/9181a2d19d33361fa29a6f2385544898bfdb6930-9732x4913.jpg","FALSE","120",""
"6R4Op2zj1oYU72ZZby0UP5","Desert Marble Dark","desert-marble-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","desert-marble-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/82cb938a1c428ab6fe7d17e89e2ab88c419b7fe6-9732x4913.jpg","FALSE","121",""
"6R4Op2zj1oYU72ZZby0UNV","Desert Marble HL","desert-marble-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","desert-marble-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/9d281986a7bd1e07033c258c31bce57b420dd97e-9732x4913.jpg","FALSE","122",""
"6R4Op2zj1oYU72ZZby0ULv","Desert Marble Light","desert-marble-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","desert-marble-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/4f71f7875aff72d4953b8da20f05993c8a4b2c5f-9732x4913.jpg","FALSE","123",""
"VFQxgcvt4mHYpR6k5OZJGO","Destiny Dark","destiny-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","destiny-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/98af8337ad6646356c5c76f7196c0bc53ccda544-9732x4913.jpg","FALSE","124",""
"f7HqoOy8SrrARCe7BCh6mp","Destiny Decor","destiny-decor","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall & Floor","","","","","destiny-decor.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/b6c3169403d1fac5eb0bb56b0084d75e1b4a09a6-9732x4913.jpg","FALSE","125",""
"VFQxgcvt4mHYpR6k5OZJDm","Destiny Light","destiny-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","destiny-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/95870398898f172502667826ba84f083cff1363c-9732x4913.jpg","FALSE","126",""
"VFQxgcvt4mHYpR6k5OZJPX","Dove Light","dove-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","dove-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/39c5ad4aadc0d16d44ca3170bcc444a911f90bbd-9732x4913.jpg","FALSE","127",""
"VFQxgcvt4mHYpR6k5OZJQq","Dove HL01","dove-hl01","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","dove-hl01.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/a794f032beb9f558a3856024243325bcacf96c16-9732x4913.jpg","FALSE","128",""
"VFQxgcvt4mHYpR6k5OZJS9","Dove HL02","dove-hl02","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","dove-hl02.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/5da43b25d8532eecccd19a093e836859a457d99d-9732x4913.jpg","FALSE","129",""
"VFQxgcvt4mHYpR6k5OZJTS","Dove HL03","dove-hl03","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","dove-hl03.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/88d3de43e80c6dcbf2fae0f9f7ffeee248b61533-9732x4913.jpg","FALSE","130",""
"6R4Op2zj1oYU72ZZby0UTp","Dusk Grey Dark","dusk-grey-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","dusk-grey-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/c2c322fe4fbb007dde12ae6c257dbd4f5eb5277d-9732x4913.jpg","FALSE","131",""
"6R4Op2zj1oYU72ZZby0USF","Dusk Grey HL","dusk-grey-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","dusk-grey-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/24278418120faa0e86c54b6fcaaeb57d0661f15a-9732x4913.jpg","FALSE","132",""
"6R4Op2zj1oYU72ZZby0UQf","Dusk Grey Light","dusk-grey-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","dusk-grey-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/fcc1864298b067a1ce301d8e48c165e275afbfbf-9732x4913.jpg","FALSE","133",""
"VFQxgcvt4mHYpR6k5OZJOE","Dusk Gris Dark","dusk-gris-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","dusk-gris-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/b87bfa98375835f0a7111801a6139a9c10abbec4-9732x4913.jpg","FALSE","134",""
"f7HqoOy8SrrARCe7BCh6r6","Dusk Gris Decor","dusk-gris-decor","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall & Floor","","","","","dusk-gris-decor.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/41d908174e969fa089293b50c0b27f099f51e1ac-9732x4913.jpg","FALSE","135",""
"VFQxgcvt4mHYpR6k5OZJLc","Dusk Gris Light","dusk-gris-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","dusk-gris-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/912872ac64ca81776ad8f0ca2419fd37f3a0c0f7-9732x4913.jpg","FALSE","136",""
"VFQxgcvt4mHYpR6k5OZJdu","Edmonton Dark","edmonton-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","edmonton-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/6bd51e09023e7d92c97581e38552a542c4c0a594-9732x4913.jpg","FALSE","137",""
"VFQxgcvt4mHYpR6k5OZJcb","Edmonton HL","edmonton-hl","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","edmonton-hl.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/8ab88d83b8bf5aeb64a67c9e76f4441c8749f9cb-9732x4913.jpg","FALSE","138",""
"VFQxgcvt4mHYpR6k5OZJbI","Edmonton Light","edmonton-light","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","300×300 mm","","edmonton-light.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/f85308f9edd940e7779f51df278a6047a7759d98-9732x4913.jpg","FALSE","139",""
"6R4Op2zj1oYU72ZZby0UrX","Faith Dark","faith-dark","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","faith-dark.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/d401c094644b54756af5223a893d77426b12114e-9732x4913.jpg","FALSE","140",""
"6R4Op2zj1oYU72ZZby0UoN","Faith HL1","faith-hl1","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","faith-hl1.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/368fcc1cfa0412432c3781a42846c80fcbd64578-9732x4913.jpg","FALSE","141",""
"6R4Op2zj1oYU72ZZby0Upx","Faith HL2","faith-hl2","wall-300x600","Classic","Ceramic","300×600 mm","Glossy","Wall","","","","","faith-hl2.jpg","https://cdn.sanity.io/images/3jv6o4t6/production/f4ef26d72501b7d1a1cf31a89fdb361e08d55b60-9732x4913.jpg","FALSE","142",""
